from,to,type,confidence,reason,step
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:category","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:price","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:quantity","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:code","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:image","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:filename","DEFINES",1,"",0
"File:qu-n-l--s-n-ph-m/routes.py","Variable:qu-n-l--s-n-ph-m/routes.py:product","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:app","DEFINES",1,"",0
"File:routes.py","Function:routes.py:home","DEFINES",1,"",0
"File:routes.py","Function:routes.py:login","DEFINES",1,"",0
"File:routes.py","Function:routes.py:register","DEFINES",1,"",0
"File:routes.py","Function:routes.py:dashboard","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:conn","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:c","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:products","DEFINES",1,"",0
"File:routes.py","Function:routes.py:products","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:keyword","DEFINES",1,"",0
"File:routes.py","Function:routes.py:edit_product","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:name","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:category","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:price","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:quantity","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:code","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:image","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:filename","DEFINES",1,"",0
"File:routes.py","Variable:routes.py:product","DEFINES",1,"",0
"File:app.py","Function:app.py:init_db","CALLS",0.85,"local-call",0
"File:app.py","Function:app.py:init_product_db","CALLS",0.85,"local-call",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:init_db","CALLS",0.85,"local-call",0
"File:qu-n-l--s-n-ph-m/app.py","Function:qu-n-l--s-n-ph-m/app.py:init_product_db","CALLS",0.85,"local-call",0
"File:routes.py","File:models.py","IMPORTS",1,"python-scope: import",0
"File:models.py","File:app.py","IMPORTS",1,"python-scope: import",0
"File:create_db.py","File:app.py","IMPORTS",1,"python-scope: import",0
"File:create_db.py","File:models.py","IMPORTS",1,"python-scope: import",0
"File:qu-n-l--s-n-ph-m/routes.py","File:qu-n-l--s-n-ph-m/models.py","IMPORTS",1,"python-scope: import",0
"File:qu-n-l--s-n-ph-m/models.py","File:qu-n-l--s-n-ph-m/app.py","IMPORTS",1,"python-scope: import",0
"File:qu-n-l--s-n-ph-m/create_db.py","File:qu-n-l--s-n-ph-m/app.py","IMPORTS",1,"python-scope: import",0
"File:qu-n-l--s-n-ph-m/create_db.py","File:qu-n-l--s-n-ph-m/models.py","IMPORTS",1,"python-scope: import",0
"Function:app.py:init_db","comm_0","MEMBER_OF",1,"leiden-algorithm",0
"Function:app.py:init_product_db","comm_1","MEMBER_OF",1,"leiden-algorithm",0
"Function:qu-n-l--s-n-ph-m/app.py:init_db","comm_2","MEMBER_OF",1,"leiden-algorithm",0
"Function:qu-n-l--s-n-ph-m/app.py:init_product_db","comm_3","MEMBER_OF",1,"leiden-algorithm",0
